IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
JAN,MĘŻCZYZNA,1100993
STANISŁAW,MĘŻCZYZNA,957337
PIOTR,MĘŻCZYZNA,818368
ANDRZEJ,MĘŻCZYZNA,744586
KRZYSZTOF,MĘŻCZYZNA,737638
JÓZEF,MĘŻCZYZNA,691043
TOMASZ,MĘŻCZYZNA,583316
PAWEŁ,MĘŻCZYZNA,574879
MICHAŁ,MĘŻCZYZNA,568191
ADAM,MĘŻCZYZNA,501999
TADEUSZ,MĘŻCZYZNA,482151
MARCIN,MĘŻCZYZNA,475681
MAREK,MĘŻCZYZNA,456649
JERZY,MĘŻCZYZNA,451607
JAKUB,MĘŻCZYZNA,442714
GRZEGORZ,MĘŻCZYZNA,427029
HENRYK,MĘŻCZYZNA,403767
ZBIGNIEW,MĘŻCZYZNA,397613
ŁUKASZ,MĘŻCZYZNA,397556
WOJCIECH,MĘŻCZYZNA,397014
KAZIMIERZ,MĘŻCZYZNA,386744
MATEUSZ,MĘŻCZYZNA,386611
RYSZARD,MĘŻCZYZNA,367498
MARIAN,MĘŻCZYZNA,340804
DARIUSZ,MĘŻCZYZNA,318845
WŁADYSŁAW,MĘŻCZYZNA,315835
ANTONI,MĘŻCZYZNA,314634
FRANCISZEK,MĘŻCZYZNA,311188
MARIUSZ,MĘŻCZYZNA,311187
ROBERT,MĘŻCZYZNA,287743
MACIEJ,MĘŻCZYZNA,285021
RAFAŁ,MĘŻCZYZNA,276551
ROMAN,MĘŻCZYZNA,273624
JACEK,MĘŻCZYZNA,265222
JANUSZ,MĘŻCZYZNA,260488
KAMIL,MĘŻCZYZNA,257883
SZYMON,MĘŻCZYZNA,249920
DAWID,MĘŻCZYZNA,245027
MIROSŁAW,MĘŻCZYZNA,235978
KACPER,MĘŻCZYZNA,232721
EDWARD,MĘŻCZYZNA,226374
MIECZYSŁAW,MĘŻCZYZNA,222751
ALEKSANDER,MĘŻCZYZNA,218111
SŁAWOMIR,MĘŻCZYZNA,215835
JAROSŁAW,MĘŻCZYZNA,214977
WIESŁAW,MĘŻCZYZNA,213883
ARTUR,MĘŻCZYZNA,212812
CZESŁAW,MĘŻCZYZNA,209378
BARTOSZ,MĘŻCZYZNA,208229
STEFAN,MĘŻCZYZNA,204273
ZDZISŁAW,MĘŻCZYZNA,203444
KAROL,MĘŻCZYZNA,199644
SEBASTIAN,MĘŻCZYZNA,194055
DAMIAN,MĘŻCZYZNA,190866
PATRYK,MĘŻCZYZNA,184285
DANIEL,MĘŻCZYZNA,181940
FILIP,MĘŻCZYZNA,176257
PRZEMYSŁAW,MĘŻCZYZNA,173829
EUGENIUSZ,MĘŻCZYZNA,164530
ZYGMUNT,MĘŻCZYZNA,161831
LESZEK,MĘŻCZYZNA,157564
MIKOŁAJ,MĘŻCZYZNA,155488
ADRIAN,MĘŻCZYZNA,153304
WALDEMAR,MĘŻCZYZNA,145481
BOGDAN,MĘŻCZYZNA,144772
ARKADIUSZ,MĘŻCZYZNA,144629
DOMINIK,MĘŻCZYZNA,142570
WIKTOR,MĘŻCZYZNA,142326
BARTŁOMIEJ,MĘŻCZYZNA,130097
OLEKSANDR,MĘŻCZYZNA,119015
KRYSTIAN,MĘŻCZYZNA,118429
RADOSŁAW,MĘŻCZYZNA,108747
LEON,MĘŻCZYZNA,108531
KONRAD,MĘŻCZYZNA,102034
HUBERT,MĘŻCZYZNA,98278
BRONISŁAW,MĘŻCZYZNA,96865
IGOR,MĘŻCZYZNA,95697
WACŁAW,MĘŻCZYZNA,92693
BOLESŁAW,MĘŻCZYZNA,90485
ZENON,MĘŻCZYZNA,89561
WITOLD,MĘŻCZYZNA,89409
BOGUSŁAW,MĘŻCZYZNA,88882
WŁODZIMIERZ,MĘŻCZYZNA,88176
MARCEL,MĘŻCZYZNA,81191
OSKAR,MĘŻCZYZNA,80506
MAKSYMILIAN,MĘŻCZYZNA,80268
IRENEUSZ,MĘŻCZYZNA,79303
NIKODEM,MĘŻCZYZNA,73517
ANDRII,MĘŻCZYZNA,72801
JULIAN,MĘŻCZYZNA,72764
SERHII,MĘŻCZYZNA,72449
IGNACY,MĘŻCZYZNA,72412
SYLWESTER,MĘŻCZYZNA,71235
MIŁOSZ,MĘŻCZYZNA,67394
VOLODYMYR,MĘŻCZYZNA,65459
DMYTRO,MĘŻCZYZNA,60196
OLIWIER,MĘŻCZYZNA,60086
EDMUND,MĘŻCZYZNA,58620
IVAN,MĘŻCZYZNA,56473
