IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ANNA,KOBIETA,1369530
MARIA,KOBIETA,1017067
ZOFIA,KOBIETA,727259
KATARZYNA,KOBIETA,681973
MAŁGORZATA,KOBIETA,626378
KRYSTYNA,KOBIETA,607456
BARBARA,KOBIETA,599896
AGNIESZKA,KOBIETA,595626
JANINA,KOBIETA,579979
EWA,KOBIETA,538622
ELŻBIETA,KOBIETA,519422
HELENA,KOBIETA,504894
TERESA,KOBIETA,473815
MAGDALENA,KOBIETA,455278
JADWIGA,KOBIETA,453915
MARIANNA,KOBIETA,446946
JOANNA,KOBIETA,445791
ALEKSANDRA,KOBIETA,435382
IRENA,KOBIETA,402291
MONIKA,KOBIETA,398887
DANUTA,KOBIETA,387560
STANISŁAWA,KOBIETA,359913
HALINA,KOBIETA,359517
NATALIA,KOBIETA,344545
MARTA,KOBIETA,340412
JULIA,KOBIETA,339335
KAROLINA,KOBIETA,319149
ALICJA,KOBIETA,295024
BEATA,KOBIETA,290717
DOROTA,KOBIETA,286553
GRAŻYNA,KOBIETA,262409
JOLANTA,KOBIETA,261089
WIKTORIA,KOBIETA,249927
HANNA,KOBIETA,244869
IWONA,KOBIETA,243274
ZUZANNA,KOBIETA,240874
PAULINA,KOBIETA,238494
URSZULA,KOBIETA,228080
BOŻENA,KOBIETA,227667
JUSTYNA,KOBIETA,222894
EMILIA,KOBIETA,205221
RENATA,KOBIETA,202530
AGATA,KOBIETA,193496
WERONIKA,KOBIETA,192144
WANDA,KOBIETA,192042
SYLWIA,KOBIETA,187090
MAJA,KOBIETA,185662
JÓZEFA,KOBIETA,185406
STEFANIA,KOBIETA,184414
GENOWEFA,KOBIETA,175514
PATRYCJA,KOBIETA,171597
IZABELA,KOBIETA,170121
OLIWIA,KOBIETA,164367
WŁADYSŁAWA,KOBIETA,155675
ANETA,KOBIETA,154648
KAZIMIERA,KOBIETA,152319
EWELINA,KOBIETA,151547
GABRIELA,KOBIETA,148038
MARTYNA,KOBIETA,144540
KLAUDIA,KOBIETA,141188
WIESŁAWA,KOBIETA,137832
MARZENA,KOBIETA,133626
LENA,KOBIETA,133048
AMELIA,KOBIETA,130886
ALINA,KOBIETA,130425
DOMINIKA,KOBIETA,126548
KINGA,KOBIETA,123074
ANTONINA,KOBIETA,122767
ANIELA,KOBIETA,122099
EDYTA,KOBIETA,119002
KAMILA,KOBIETA,115638
BRONISŁAWA,KOBIETA,110713
LUCYNA,KOBIETA,109341
LIDIA,KOBIETA,101187
CZESŁAWA,KOBIETA,97719
REGINA,KOBIETA,92755
LEOKADIA,KOBIETA,91635
TETIANA,KOBIETA,91517
HENRYKA,KOBIETA,90981
DARIA,KOBIETA,89908
MIROSŁAWA,KOBIETA,87947
MARIOLA,KOBIETA,86945
NATALIIA,KOBIETA,86396
ŁUCJA,KOBIETA,84818
OLENA,KOBIETA,82680
MICHALINA,KOBIETA,82004
IRYNA,KOBIETA,79373
LAURA,KOBIETA,79003
NIKOLA,KOBIETA,78958
MILENA,KOBIETA,78318
SABINA,KOBIETA,77913
OLGA,KOBIETA,75964
WIOLETTA,KOBIETA,74798
CECYLIA,KOBIETA,71494
BOGUMIŁA,KOBIETA,70873
FRANCISZKA,KOBIETA,67734
EUGENIA,KOBIETA,66391
ANGELIKA,KOBIETA,66026
OLHA,KOBIETA,65068
ROZALIA,KOBIETA,64292
OKSANA,KOBIETA,62847
MARIIA,KOBIETA,61367
SVITLANA,KOBIETA,59626
ILONA,KOBIETA,57577
ANASTASIIA,KOBIETA,57513
YULIIA,KOBIETA,57104
BOGUSŁAWA,KOBIETA,56474
VIKTORIIA,KOBIETA,56155
SANDRA,KOBIETA,55225
NADIA,KOBIETA,54749
KORNELIA,KOBIETA,54595
NINA,KOBIETA,53534
GERTRUDA,KOBIETA,51877
LILIANA,KOBIETA,51156
POLA,KOBIETA,50698
IGA,KOBIETA,49887
MARLENA,KOBIETA,49683
MARCELINA,KOBIETA,48825
KATERYNA,KOBIETA,48819
ANITA,KOBIETA,47342
KLARA,KOBIETA,45221
JAGODA,KOBIETA,44651
LIUDMYLA,KOBIETA,43248
ANASTAZJA,KOBIETA,42600
ZDZISŁAWA,KOBIETA,39748
KARINA,KOBIETA,38182
DANIELA,KOBIETA,38082
RÓŻA,KOBIETA,37239
DIANA,KOBIETA,36796
ADRIANNA,KOBIETA,35365
WIOLETA,KOBIETA,35094
SARA,KOBIETA,33510
HALYNA,KOBIETA,33477
ROKSANA,KOBIETA,32439
DAGMARA,KOBIETA,32357
MALWINA,KOBIETA,31911
SOFIIA,KOBIETA,30835
MARYNA,KOBIETA,30732
ELIZA,KOBIETA,30105
APOLONIA,KOBIETA,29782
VALENTYNA,KOBIETA,29501
PELAGIA,KOBIETA,28570
NADIIA,KOBIETA,27853
ŻANETA,KOBIETA,27706
BLANKA,KOBIETA,27540
KAJA,KOBIETA,27412
JULIANNA,KOBIETA,27197
HONORATA,KOBIETA,26790
ADELA,KOBIETA,26394
MIECZYSŁAWA,KOBIETA,26333
BERNADETA,KOBIETA,26095
WALERIA,KOBIETA,25738
CELINA,KOBIETA,25227
LUDWIKA,KOBIETA,24948
OLEKSANDRA,KOBIETA,24689
MATYLDA,KOBIETA,23588
LILIANNA,KOBIETA,23319
ELEONORA,KOBIETA,23244
ALDONA,KOBIETA,23241
JULITA,KOBIETA,22465
FELIKSA,KOBIETA,21892
VIOLETTA,KOBIETA,21840
INNA,KOBIETA,21802
WACŁAWA,KOBIETA,21146
AURELIA,KOBIETA,20895
LIUBOV,KOBIETA,20465
YANA,KOBIETA,20071
ALFREDA,KOBIETA,19892
NELA,KOBIETA,19278
FELICJA,KOBIETA,18771
MAGDA,KOBIETA,18661
VERONIKA,KOBIETA,17984
BRYGIDA,KOBIETA,17769
LARYSA,KOBIETA,17624
BOŻENNA,KOBIETA,17186
IZABELLA,KOBIETA,16924
ADRIANA,KOBIETA,16802
VALERIIA,KOBIETA,16719
WALENTYNA,KOBIETA,16028
PAULA,KOBIETA,15992
ALLA,KOBIETA,15691
HILDEGARDA,KOBIETA,15322
KALINA,KOBIETA,14982
TAMARA,KOBIETA,14572
LILIIA,KOBIETA,14392
OLIVIA,KOBIETA,13852
MELANIA,KOBIETA,13839
MARIKA,KOBIETA,13758
ELWIRA,KOBIETA,13675
SONIA,KOBIETA,13664
ALONA,KOBIETA,13295
MARZANNA,KOBIETA,13074
TATIANA,KOBIETA,13064
POLINA,KOBIETA,13043
YELYZAVETA,KOBIETA,12967
MIA,KOBIETA,12881
OTYLIA,KOBIETA,12601
ROMANA,KOBIETA,12286
LUIZA,KOBIETA,12260
ZENOBIA,KOBIETA,12211
ALBINA,KOBIETA,12045
KHRYSTYNA,KOBIETA,11999
ANDŻELIKA,KOBIETA,11998
ARLETA,KOBIETA,11714
ZENONA,KOBIETA,11596
TEODOZJA,KOBIETA,11468
IVANNA,KOBIETA,11094
VICTORIA,KOBIETA,11017
MARIANA,KOBIETA,10831
TEODORA,KOBIETA,10748
SALOMEA,KOBIETA,10670
LIWIA,KOBIETA,10437
JUDYTA,KOBIETA,10078
NICOLE,KOBIETA,10019
VIRA,KOBIETA,9943
BOLESŁAWA,KOBIETA,9808
ROMUALDA,KOBIETA,9779
YEVHENIIA,KOBIETA,9773
LUDMIŁA,KOBIETA,9444
ANHELINA,KOBIETA,9389
NICOLA,KOBIETA,9240
NATASZA,KOBIETA,9132
JOWITA,KOBIETA,8973
ADELAJDA,KOBIETA,8892
DARYNA,KOBIETA,8885
VANESSA,KOBIETA,8823
ELENA,KOBIETA,8787
INGA,KOBIETA,8626
MARHARYTA,KOBIETA,8272
LESIA,KOBIETA,8163
MILANA,KOBIETA,8128
ADA,KOBIETA,8078
BIANKA,KOBIETA,8033
JESSICA,KOBIETA,8007
LEONARDA,KOBIETA,7904
MARZENNA,KOBIETA,7898
SOFIA,KOBIETA,7873
ERYKA,KOBIETA,7843
ESTERA,KOBIETA,7820
RITA,KOBIETA,7745
EMMA,KOBIETA,7616
GIZELA,KOBIETA,7535
LONGINA,KOBIETA,7509
KARYNA,KOBIETA,7490
TEOFILA,KOBIETA,7485
DONATA,KOBIETA,7481
YEVA,KOBIETA,7277
LILIA,KOBIETA,7213
ALISA,KOBIETA,7201
ULIANA,KOBIETA,7174
ZLATA,KOBIETA,7157
KIRA,KOBIETA,7142
BERNADETTA,KOBIETA,7104
MAYA,KOBIETA,7069
LIDIIA,KOBIETA,7064
NADZIEJA,KOBIETA,6996
TEKLA,KOBIETA,6870
IDA,KOBIETA,6834
OLESIA,KOBIETA,6754
ELFRYDA,KOBIETA,6447
MYROSLAVA,KOBIETA,6433
IRMINA,KOBIETA,6360
ANETTA,KOBIETA,6256
KSENIIA,KOBIETA,6249
KONSTANCJA,KOBIETA,6249
KRISTINA,KOBIETA,6025
RUSLANA,KOBIETA,6017
RYSZARDA,KOBIETA,6012
AMANDA,KOBIETA,5983
ARINA,KOBIETA,5932
FLORENTYNA,KOBIETA,5837
BERNARDA,KOBIETA,5819
ALENA,KOBIETA,5754
DARIIA,KOBIETA,5643
VITA,KOBIETA,5642
GAJA,KOBIETA,5608
